time_h1,time_h2,time_m1,time_m2,start_m,finish_m,order,s
5,6,45,0,346,360,0,1
5,6,45,0,346,360,1,1
5,6,45,0,346,360,2,1
5,6,45,0,346,360,3,1
5,6,45,0,346,360,4,1
5,6,45,0,346,360,5,1
5,6,45,0,346,360,6,1
5,6,45,0,346,360,7,6
5,6,45,0,346,360,8,1
5,6,45,0,346,360,9,1
5,6,45,0,346,360,10,0
5,6,45,0,346,360,11,0
5,6,45,0,346,360,12,1
5,6,45,0,346,360,13,4
5,6,45,0,346,360,14,1
5,6,45,0,346,360,15,0
5,6,45,0,346,360,16,1
5,6,45,0,346,360,17,3
5,6,45,0,346,360,18,2
6,6,0,15,361,375,0,1
6,6,0,15,361,375,1,1
6,6,0,15,361,375,2,1
6,6,0,15,361,375,3,1
6,6,0,15,361,375,4,1
6,6,0,15,361,375,5,1
6,6,0,15,361,375,6,1
6,6,0,15,361,375,7,6
6,6,0,15,361,375,8,1
6,6,0,15,361,375,9,1
6,6,0,15,361,375,10,0
6,6,0,15,361,375,11,0
6,6,0,15,361,375,12,1
6,6,0,15,361,375,13,4
6,6,0,15,361,375,14,1
6,6,0,15,361,375,15,0
6,6,0,15,361,375,16,1
6,6,0,15,361,375,17,3
6,6,0,15,361,375,18,2
6,6,15,30,376,390,0,1
6,6,15,30,376,390,1,1
6,6,15,30,376,390,2,1
6,6,15,30,376,390,3,1
6,6,15,30,376,390,4,1
6,6,15,30,376,390,5,1
6,6,15,30,376,390,6,1
6,6,15,30,376,390,7,5
6,6,15,30,376,390,8,1
6,6,15,30,376,390,9,1
6,6,15,30,376,390,10,0
6,6,15,30,376,390,11,0
6,6,15,30,376,390,12,1
6,6,15,30,376,390,13,4
6,6,15,30,376,390,14,1
6,6,15,30,376,390,15,0
6,6,15,30,376,390,16,1
6,6,15,30,376,390,17,3
6,6,15,30,376,390,18,2
6,6,30,45,391,405,0,1
6,6,30,45,391,405,1,1
6,6,30,45,391,405,2,1
6,6,30,45,391,405,3,1
6,6,30,45,391,405,4,1
6,6,30,45,391,405,5,1
6,6,30,45,391,405,6,1
6,6,30,45,391,405,7,6
6,6,30,45,391,405,8,1
6,6,30,45,391,405,9,1
6,6,30,45,391,405,10,0
6,6,30,45,391,405,11,1
6,6,30,45,391,405,12,1
6,6,30,45,391,405,13,4
6,6,30,45,391,405,14,1
6,6,30,45,391,405,15,0
6,6,30,45,391,405,16,1
6,6,30,45,391,405,17,3
6,6,30,45,391,405,18,2
6,7,45,0,406,420,0,1
6,7,45,0,406,420,1,1
6,7,45,0,406,420,2,1
6,7,45,0,406,420,3,1
6,7,45,0,406,420,4,1
6,7,45,0,406,420,5,1
6,7,45,0,406,420,6,1
6,7,45,0,406,420,7,6
6,7,45,0,406,420,8,1
6,7,45,0,406,420,9,1
6,7,45,0,406,420,10,0
6,7,45,0,406,420,11,1
6,7,45,0,406,420,12,1
6,7,45,0,406,420,13,4
6,7,45,0,406,420,14,1
6,7,45,0,406,420,15,0
6,7,45,0,406,420,16,1
6,7,45,0,406,420,17,3
6,7,45,0,406,420,18,2
7,7,0,15,421,435,0,1
7,7,0,15,421,435,1,1
7,7,0,15,421,435,2,1
7,7,0,15,421,435,3,1
7,7,0,15,421,435,4,1
7,7,0,15,421,435,5,1
7,7,0,15,421,435,6,1
7,7,0,15,421,435,7,6
7,7,0,15,421,435,8,1
7,7,0,15,421,435,9,1
7,7,0,15,421,435,10,1
7,7,0,15,421,435,11,1
7,7,0,15,421,435,12,1
7,7,0,15,421,435,13,4
7,7,0,15,421,435,14,1
7,7,0,15,421,435,15,1
7,7,0,15,421,435,16,2
7,7,0,15,421,435,17,3
7,7,0,15,421,435,18,2
7,7,15,30,436,450,0,1
7,7,15,30,436,450,1,1
7,7,15,30,436,450,2,1
7,7,15,30,436,450,3,1
7,7,15,30,436,450,4,1
7,7,15,30,436,450,5,1
7,7,15,30,436,450,6,1
7,7,15,30,436,450,7,6
7,7,15,30,436,450,8,1
7,7,15,30,436,450,9,1
7,7,15,30,436,450,10,1
7,7,15,30,436,450,11,1
7,7,15,30,436,450,12,1
7,7,15,30,436,450,13,4
7,7,15,30,436,450,14,1
7,7,15,30,436,450,15,1
7,7,15,30,436,450,16,2
7,7,15,30,436,450,17,3
7,7,15,30,436,450,18,2
7,7,30,45,451,465,0,1
7,7,30,45,451,465,1,1
7,7,30,45,451,465,2,2
7,7,30,45,451,465,3,1
7,7,30,45,451,465,4,1
7,7,30,45,451,465,5,1
7,7,30,45,451,465,6,1
7,7,30,45,451,465,7,6
7,7,30,45,451,465,8,1
7,7,30,45,451,465,9,1
7,7,30,45,451,465,10,1
7,7,30,45,451,465,11,1
7,7,30,45,451,465,12,1
7,7,30,45,451,465,13,4
7,7,30,45,451,465,14,1
7,7,30,45,451,465,15,1
7,7,30,45,451,465,16,2
7,7,30,45,451,465,17,3
7,7,30,45,451,465,18,3
7,8,45,0,466,480,0,1
7,8,45,0,466,480,1,1
7,8,45,0,466,480,2,2
7,8,45,0,466,480,3,1
7,8,45,0,466,480,4,1
7,8,45,0,466,480,5,1
7,8,45,0,466,480,6,1
7,8,45,0,466,480,7,6
7,8,45,0,466,480,8,1
7,8,45,0,466,480,9,1
7,8,45,0,466,480,10,1
